GO Term	Fold Change	MEGAN	EggNOG	MetaGOmics	MPA	Prophane	Unipept
precorrin-2 C20-methyltransferase activity	FC (WS / NS)	0.11 (4.09 / 3.7)	-	-	-0.3 (-0.19 / 0)	-	0.14 (4.09 / 3.61)
 	Percentile (%)	27.716	-	-	73.711	-	29.234
cobalt-factor II C20-methyltransferase activity	FC (WS / NS)	0.11 (4.09 / 3.7)	-	-	-	-	1.88 (2.32 / -0.09)
 	Percentile (%)	27.75	-	-	-	-	1.51
precorrin-6A synthase (deacetylating) activity	FC (WS / NS)	0.11 (4.09 / 3.7)	-	-	-	-	-
 	Percentile (%)	27.783	-	-	-	-	-
hippurate hydrolase activity	FC (WS / NS)	0.11 (4.09 / 3.7)	-	-	-	-	-
 	Percentile (%)	27.817	-	-	-	-	-
N-acetyldiaminopimelate deacetylase activity	FC (WS / NS)	0.11 (4.09 / 3.7)	1.73 (2.32 / 0)	-	-	-	-
 	Percentile (%)	27.85	3.081	-	-	-	-
ATPase-coupled anion transmembrane transporter activity	FC (WS / NS)	0.11 (6.02 / 5.49)	-	-	-	0.05 (-7.09 / -6.87)	0.32 (4.09 / 3.08)
 	Percentile (%)	27.951	-	-	-	41.712	17.152
serine-type D-Ala-D-Ala carboxypeptidase activity	FC (WS / NS)	0.11 (4.58 / 4.17)	-0.8 (1 / 2.49)	-	-	-	0.19 (5.04 / 4.3)
 	Percentile (%)	27.984	76.332	-	-	-	24.739
oxidoreductase activity, acting on the CH-OH group of donors, cytochrome as acceptor	FC (WS / NS)	0.11 (7.89 / 7.23)	-	-	-	-	-
 	Percentile (%)	28.017	-	-	-	-	-
acetaldehyde dehydrogenase (acetylating) activity	FC (WS / NS)	0.11 (7.43 / 6.81)	0.31 (3 / 2.23)	0.14 (7.37 / 6.61)	0.1 (14.58 / 13.57)	-0.26 (-7.28 / -8.54)	0.15 (7.38 / 6.53)
 	Percentile (%)	28.084	16.551	26.857	24.619	72.806	27.652
tyrosine-tRNA ligase activity	FC (WS / NS)	0.11 (5.61 / 5.13)	0.19 (5.83 / 4.99)	-	0.15 (11.79 / 10.53)	-0.14 (-6.28 / -6.81)	0.1 (6.09 / 5.61)
 	Percentile (%)	28.118	19.967	-	18.373	61.105	37.073
glutaconyl-CoA decarboxylase activity	FC (WS / NS)	0.11 (2.58 / 2.32)	-	-	-0.13 (8.13 / 8.98)	-0.15 (-9.2 / -10.11)	-0.31 (6.61 / 8.47)
 	Percentile (%)	28.185	-	-	64.851	61.755	79.216
precorrin-2 dehydrogenase activity	FC (WS / NS)	0.11 (7.98 / 7.32)	-	0.39 (5 / 3.58)	2.68 (5.43 / 0)	-	0.33 (5.04 / 3.81)
 	Percentile (%)	28.251	-	14.904	4.357	-	16.972
hydrolase activity, acting on glycosyl bonds	FC (WS / NS)	0.11 (14.88 / 13.73)	0.08 (7.17 / 6.71)	0.16 (10.06 / 8.92)	-	-	0.18 (9.2 / 8.02)
 	Percentile (%)	28.285	34.965	24.988	-	-	25.818
NADH dehydrogenase (ubiquinone) activity	FC (WS / NS)	0.11 (10.03 / 9.24)	-0.89 (2 / 4.55)	-1.13 (1.58 / 4.64)	-3.21 (0 / 8.23)	-0.3 (-9.01 / -10.88)	-0.31 (4.17 / 5.43)
 	Percentile (%)	28.352	77	87.457	94.118	75.623	79.252
carbohydrate kinase activity	FC (WS / NS)	0.11 (12.11 / 11.17)	0.21 (8.98 / 7.65)	0.13 (9.41 / 8.54)	0.15 (15.23 / 13.62)	0.19 (-5.39 / -4.86)	0.17 (8.25 / 7.22)
 	Percentile (%)	28.385	19.608	27.939	18.301	22.21	26.214
xanthine phosphoribosyltransferase activity	FC (WS / NS)	0.1 (5.75 / 5.29)	-1.54 (0 / 1.91)	-	-	-	0.17 (3.91 / 3.36)
 	Percentile (%)	28.485	86.673	-	-	-	26.321
adenine phosphoribosyltransferase activity	FC (WS / NS)	0.1 (5.75 / 5.29)	-0.03 (3.91 / 3.99)	-	3.23 (8.4 / 0)	-	-0.08 (4.7 / 5.03)
 	Percentile (%)	28.519	57.129	-	0.799	-	68.86
glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity	FC (WS / NS)	0.1 (9.51 / 8.78)	-0.44 (4.46 / 6.43)	0.05 (9.01 / 8.64)	0.4 (8.38 / 6.13)	-0.38 (-5.33 / -6.65)	0.27 (7.65 / 6.19)
 	Percentile (%)	28.686	71.364	39.892	11.765	79.415	19.813
erythrose-4-phosphate dehydrogenase activity	FC (WS / NS)	0.1 (9.51 / 8.78)	-	-	-	-0.38 (-5.33 / -6.65)	-
 	Percentile (%)	28.719	-	-	-	79.632	-
uracil phosphoribosyltransferase activity	FC (WS / NS)	0.1 (7.95 / 7.34)	-2.74 (0 / 5.69)	0.13 (6.98 / 6.29)	0.24 (11.78 / 9.81)	-	0.17 (7.33 / 6.38)
 	Percentile (%)	28.753	97.922	27.595	14.379	-	25.962
UDP-N-acetylmuramate-L-alanine ligase activity	FC (WS / NS)	0.1 (5.86 / 5.39)	0.21 (6.13 / 5.15)	0.14 (6.09 / 5.43)	0.36 (9.99 / 7.56)	-0.13 (-7.72 / -8.34)	0.15 (6.32 / 5.61)
 	Percentile (%)	28.853	19.489	26.217	12.2	59.588	28.119
glutamate synthase activity, NAD(P)H as acceptor	FC (WS / NS)	0.1 (8.26 / 7.63)	-	-	-	-	-
 	Percentile (%)	28.887	-	-	-	-	-
phosphopyruvate hydratase activity	FC (WS / NS)	0.1 (9.64 / 8.92)	-0.17 (5.78 / 6.61)	0.07 (9.22 / 8.74)	0.11 (21.2 / 19.6)	-	0.11 (9.64 / 8.86)
 	Percentile (%)	28.954	63.936	36.891	22.658	-	36.138
amidine-lyase activity	FC (WS / NS)	0.1 (8.23 / 7.61)	-	0.16 (7.53 / 6.61)	-0.12 (12.07 / 13.17)	-0.3 (-7.9 / -9.47)	0.14 (7.3 / 6.52)
 	Percentile (%)	29.02	-	24.594	63.689	75.406	33.01
cobalamin binding	FC (WS / NS)	0.1 (13.02 / 12.1)	-2.27 (0 / 3.81)	-0.07 (8.93 / 9.4)	0 (17.62 / 17.65)	NaN (-0.48 / -1.51)	-0.01 (9.31 / 9.38)
 	Percentile (%)	29.188	92.811	61.584	46.187	98.05	61.273
glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity	FC (WS / NS)	0.1 (10.19 / 9.46)	0 (0 / 0)	0.18 (7.89 / 6.83)	0.02 (14.24 / 13.98)	-0.3 (-9.26 / -11.19)	0.17 (8.02 / 7.01)
 	Percentile (%)	29.288	53.26	23.561	37.908	75.84	26.25
diphosphotransferase activity	FC (WS / NS)	0.1 (10.05 / 9.33)	-0.11 (5 / 5.49)	-	-	-	0.11 (7.39 / 6.78)
 	Percentile (%)	29.355	61.93	-	-	-	35.958
acetylglucosaminyltransferase activity	FC (WS / NS)	0.09 (6 / 5.55)	-	-	-	-	0.02 (5.39 / 5.3)
 	Percentile (%)	29.488	-	-	-	-	53.326
peptidoglycan glycosyltransferase activity	FC (WS / NS)	0.09 (6.83 / 6.34)	0.8 (2.32 / 0.91)	-	1.26 (1.4 / 0)	-	0.72 (5.13 / 2.71)
 	Percentile (%)	29.589	10.294	-	8.497	-	8.774
transferase activity, transferring hexosyl groups	FC (WS / NS)	0.09 (12.88 / 12)	-0.08 (7.33 / 7.81)	0.21 (10.26 / 8.76)	0.47 (14.56 / 10.22)	-0.23 (-6.75 / -7.77)	0.14 (9.49 / 8.54)
 	Percentile (%)	29.622	60.616	22.233	11.038	69.014	33.405
phosphoenolpyruvate-protein phosphotransferase activity	FC (WS / NS)	0.09 (10.36 / 9.65)	0.26 (7.29 / 5.91)	0.26 (7.26 / 5.91)	0.04 (14.74 / 14.29)	-0.1 (-6.75 / -7.18)	0.28 (7.56 / 6.08)
 	Percentile (%)	29.789	17.745	18.938	32.534	58.505	19.238
protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	FC (WS / NS)	0.09 (13.03 / 12.17)	-	0.2 (8.44 / 7.23)	0.13 (14.3 / 12.98)	0.33 (-5.71 / -4.75)	0.19 (8.85 / 7.65)
 	Percentile (%)	29.856	-	22.725	20.116	11.051	25.171
pyruvate dehydrogenase (acetyl-transferring) activity	FC (WS / NS)	0.09 (7.49 / 6.98)	-0.56 (2.32 / 3.91)	-	-0.04 (4.94 / 5.13)	-	0.08 (5.78 / 5.4)
 	Percentile (%)	29.89	73.513	-	55.846	-	38.583
biotin-[acetyl-CoA-carboxylase] ligase activity	FC (WS / NS)	0.09 (4.32 / 4)	-1.69 (0 / 2.23)	-	2.95 (6.72 / 0)	-	0.19 (3.46 / 2.91)
 	Percentile (%)	29.923	88.846	-	2.251	-	24.631
uridine kinase activity	FC (WS / NS)	0.09 (8.48 / 7.92)	0.14 (0 / -0.09)	-	-0.3 (-0.19 / 0)	-	-2.27 (0 / 3.81)
 	Percentile (%)	30.057	22.57	-	72.84	-	99.353
ferric iron binding	FC (WS / NS)	0.09 (10.33 / 9.68)	-0.48 (4.32 / 6.41)	0.07 (8.55 / 8.11)	0.26 (15.97 / 13.19)	0.33 (-0.41 / -0.53)	0.06 (8.89 / 8.46)
 	Percentile (%)	30.224	71.913	37.285	13.653	11.484	43.078
L-aspartate:2-oxoglutarate aminotransferase activity	FC (WS / NS)	0.08 (7.99 / 7.48)	0 (5.17 / 5.15)	-0.36 (4.17 / 5.64)	-	-	0.61 (6.02 / 3.61)
 	Percentile (%)	30.324	46.716	78.898	-	-	10.644
aspartate-ammonia ligase activity	FC (WS / NS)	0.08 (4.64 / 4.32)	0.66 (4.52 / 2.49)	-	-0.19 (7.79 / 9.06)	-	0.09 (4.86 / 4.49)
 	Percentile (%)	30.358	11.106	-	68.918	-	37.504
L-phenylalanine:2-oxoglutarate aminotransferase activity	FC (WS / NS)	0.08 (8.61 / 8.06)	-	-0.75 (2.58 / 5.04)	-	-	0.49 (6.13 / 4.08)
 	Percentile (%)	30.391	-	84.752	-	-	12.657
sulfurtransferase activity	FC (WS / NS)	0.08 (9.89 / 9.3)	0.38 (5.39 / 3.91)	-	-	-	0.12 (6.91 / 6.28)
 	Percentile (%)	30.525	15.142	-	-	-	35.059
oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor	FC (WS / NS)	0.08 (12.72 / 11.98)	0.15 (8.38 / 7.42)	0 (7.97 / 7.97)	0.07 (12.31 / 11.64)	-0.35 (-3.63 / -4.35)	0.04 (7.71 / 7.5)
 	Percentile (%)	30.558	20.802	53.861	26.58	78.115	49.227
inorganic diphosphatase activity	FC (WS / NS)	0.08 (8.23 / 7.73)	0.38 (5.39 / 3.91)	-	0.12 (13 / 11.88)	-0.49 (-4.52 / -5.94)	0.07 (6.87 / 6.52)
 	Percentile (%)	30.726	15.166	-	21.351	83.749	42.898
phosphoribosylformylglycinamidine synthase activity	FC (WS / NS)	0.08 (6.61 / 6.21)	-1.32 (0 / 1.49)	-	-0.26 (4.14 / 5.13)	-	0.09 (5.98 / 5.55)
 	Percentile (%)	30.759	84.213	-	71.387	-	37.828
exodeoxyribonuclease activity, producing 5'-phosphomonoesters	FC (WS / NS)	0.08 (7.98 / 7.51)	0.68 (5.25 / 2.91)	0.3 (4.91 / 3.81)	-	-	0.08 (5.32 / 4.99)
 	Percentile (%)	30.893	10.986	17.265	-	-	39.626
endopeptidase activity	FC (WS / NS)	0.08 (14.26 / 13.47)	0.11 (8.47 / 7.79)	0.11 (9.97 / 9.16)	-0.09 (14.87 / 15.85)	-0.47 (-5.27 / -6.91)	0.08 (9.71 / 9.11)
 	Percentile (%)	30.96	33.317	29.907	60.639	82.882	38.691
D-arabinono-1,4-lactone oxidase activity	FC (WS / NS)	0.08 (5.98 / 5.61)	-	-	-	-	-
 	Percentile (%)	30.993	-	-	-	-	-
D-lactate dehydrogenase (cytochrome) activity	FC (WS / NS)	0.08 (5.98 / 5.61)	-	1.03 (5.78 / 2.32)	-	-	-
 	Percentile (%)	31.026	-	7.624	-	-	-
tetrapyrrole binding	FC (WS / NS)	0.08 (15.14 / 14.31)	-	-0.07 (10.2 / 10.78)	0 (17.63 / 17.65)	2.01 (0.43 / -0.64)	-0.01 (9.53 / 9.6)
 	Percentile (%)	31.06	-	62.076	46.115	0.542	61.237
nicotinate-nucleotide diphosphorylase (carboxylating) activity	FC (WS / NS)	0.08 (5.32 / 5)	-	-	-0.14 (7.38 / 8.2)	-	0.01 (5.64 / 5.58)
 	Percentile (%)	31.127	-	-	66.013	-	55.052
nicotinate phosphoribosyltransferase activity	FC (WS / NS)	0.08 (5.32 / 5)	0.84 (5.25 / 2.49)	-	-0.14 (7.38 / 8.2)	-	0.12 (5.61 / 5.08)
 	Percentile (%)	31.16	9.936	-	66.086	-	34.7
nucleoside kinase activity	FC (WS / NS)	0.08 (9.93 / 9.38)	-	-	-	-	-1.22 (1.58 / 5.03)
 	Percentile (%)	31.227	-	-	-	-	94.642
alcohol dehydrogenase (NAD) activity	FC (WS / NS)	0.07 (10.06 / 9.5)	0.08 (7.67 / 7.19)	-	0.06 (15.72 / 15.07)	0.05 (-5.31 / -5.18)	0.08 (8.31 / 7.81)
 	Percentile (%)	31.294	35.085	-	29.702	42.254	39.266
beta-ketoacyl-acyl-carrier-protein synthase II activity	FC (WS / NS)	0.07 (7.49 / 7.07)	-2.75 (0 / 5.74)	0.09 (7.34 / 6.83)	0.11 (15.33 / 14.09)	-0.3 (-5.27 / -6.28)	0.15 (7.67 / 6.84)
 	Percentile (%)	31.327	97.97	32.858	22.295	75.948	29.054
dUTP diphosphatase activity	FC (WS / NS)	0.07 (5 / 4.7)	-1.32 (0 / 1.49)	-	-0.37 (6.86 / 9.16)	-	0.01 (4.25 / 4.23)
 	Percentile (%)	31.361	84.165	-	77.124	-	56.742
endoribonuclease activity, producing 5'-phosphomonoesters	FC (WS / NS)	0.07 (5.95 / 5.61)	0.73 (3.81 / 1.91)	-	-	-	0.09 (5.64 / 5.23)
 	Percentile (%)	31.628	10.771	-	-	-	37.576
oxidoreductase activity, acting on CH or CH2 groups, disulfide as acceptor	FC (WS / NS)	0.07 (10.26 / 9.72)	-0.03 (7.18 / 7.32)	0.12 (9.11 / 8.29)	0.19 (14.3 / 12.44)	-0.8 (-3.08 / -4.63)	0.14 (7.93 / 7.12)
 	Percentile (%)	31.662	57.105	28.48	16.122	91.008	33.513
3-beta-hydroxy-delta5-steroid dehydrogenase activity	FC (WS / NS)	0.07 (5.29 / 5)	-	-	-	-	-
 	Percentile (%)	31.996	-	-	-	-	-
penicillin binding	FC (WS / NS)	0.07 (7.43 / 7.04)	-0.69 (2.32 / 4.36)	-	0.11 (7.98 / 7.32)	-	0 (5.88 / 5.91)
 	Percentile (%)	32.029	75.233	-	22.367	-	60.374
oxaloacetate decarboxylase activity	FC (WS / NS)	0.07 (9.92 / 9.43)	0.14 (0 / -0.09)	0.07 (7.94 / 7.54)	-0.42 (7.63 / 10.55)	-0.67 (-2.82 / -3.89)	-0.12 (7.08 / 7.76)
 	Percentile (%)	32.063	24.337	37.777	78.431	88.841	71.341
peroxidase activity	FC (WS / NS)	0.07 (9.75 / 9.27)	-	-	-0.11 (10.67 / 11.57)	-	0.09 (8.68 / 8.07)
 	Percentile (%)	32.163	-	-	62.309	-	37.612
adenylosuccinate synthase activity	FC (WS / NS)	0.06 (6.71 / 6.38)	-2.08 (0 / 3.23)	-	0.17 (11.53 / 10.17)	0.1 (-8.21 / -7.74)	0.05 (6.82 / 6.56)
 	Percentile (%)	32.297	91.545	-	17.429	35.211	46.35
GMP synthase (glutamine-hydrolyzing) activity	FC (WS / NS)	0.06 (6.54 / 6.21)	-1.72 (1 / 5.61)	-	-0.19 (11.7 / 13.53)	-0.34 (-7.55 / -9.31)	0.05 (6.71 / 6.44)
 	Percentile (%)	32.431	89.539	-	69.136	77.79	46.206
inorganic anion transmembrane transporter activity	FC (WS / NS)	0.06 (7.96 / 7.57)	-	0.78 (5.52 / 2.81)	2.77 (5.81 / 0)	0.06 (-5.99 / -5.78)	-0.24 (4.46 / 5.46)
 	Percentile (%)	32.464	-	9.444	3.776	39.978	77.202
ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor	FC (WS / NS)	0.06 (8.58 / 8.17)	-0.61 (3.32 / 5.58)	-	0.19 (14.17 / 12.32)	-0.61 (-3.87 / -5.38)	0.09 (7.1 / 6.62)
 	Percentile (%)	32.564	74.11	-	16.049	87.324	38.26
antioxidant activity	FC (WS / NS)	0.06 (13.65 / 13.02)	0.24 (8.85 / 7.36)	0.06 (9.46 / 9.06)	-0.18 (11.17 / 12.8)	0.63 (-3.75 / -2.78)	0.06 (9.54 / 9.12)
 	Percentile (%)	32.732	18.653	39.597	68.482	5.525	44.265
aminopeptidase activity	FC (WS / NS)	0.06 (12.62 / 12.04)	0 (7.07 / 7.08)	0.07 (9.18 / 8.72)	0.02 (15.38 / 15.13)	-0.45 (-4.83 / -6.23)	0.1 (9.29 / 8.62)
 	Percentile (%)	32.865	54.98	37.482	38.78	82.124	37.253
malate dehydrogenase activity	FC (WS / NS)	0.06 (12.72 / 12.14)	0.05 (8.41 / 8.11)	0.06 (9.2 / 8.75)	-	NaN (-0.82 / -2.32)	0.02 (8.14 / 8)
 	Percentile (%)	32.932	39.957	37.875	-	96.966	52.823
adenylate kinase activity	FC (WS / NS)	0.06 (6.98 / 6.64)	0.11 (7.26 / 6.66)	-	0.02 (12.85 / 12.63)	-0.39 (-5.76 / -7.25)	0.09 (7.12 / 6.63)
 	Percentile (%)	32.999	33.294	-	38.417	79.957	38.116
divalent inorganic cation transmembrane transporter activity	FC (WS / NS)	0.06 (10.46 / 9.98)	-	-	-2.91 (0 / 6.51)	-	-
 	Percentile (%)	33.066	-	-	90.995	-	-
enzyme regulator activity	FC (WS / NS)	0.06 (11.61 / 11.09)	-0.27 (7.98 / 9.83)	-0.32 (8.18 / 10.46)	-0.68 (7.99 / 13.42)	-	-0.09 (7.18 / 7.71)
 	Percentile (%)	33.2	66.563	77.373	81.118	-	69.507
phosphotransferase activity, alcohol group as acceptor	FC (WS / NS)	0.06 (17.62 / 16.86)	0.05 (10.39 / 9.99)	0.1 (11.42 / 10.57)	0.12 (18.14 / 16.64)	0.38 (-2.4 / -2.08)	0.08 (11.13 / 10.46)
 	Percentile (%)	33.266	39.241	30.939	21.569	10.076	38.763
phosphorus-oxygen lyase activity	FC (WS / NS)	0.06 (8.39 / 8.01)	-	-	-	-	-0.16 (4.17 / 4.76)
 	Percentile (%)	33.367	-	-	-	-	73.175
S-adenosylmethionine-dependent methyltransferase activity	FC (WS / NS)	0.06 (12.69 / 12.14)	0.3 (8.4 / 6.62)	0.29 (8.7 / 6.95)	-0.29 (6.47 / 8.11)	-	0.1 (7.75 / 7.13)
 	Percentile (%)	33.534	16.79	18.003	71.823	-	36.785
monocarboxylic acid transmembrane transporter activity	FC (WS / NS)	0.06 (5.88 / 5.61)	-2.03 (0 / 3.08)	-	-	-	-
 	Percentile (%)	33.735	91.354	-	-	-	-
carbohydrate transmembrane transporter activity	FC (WS / NS)	0.06 (15.73 / 15.09)	0.09 (10.55 / 9.89)	0.04 (9.92 / 9.65)	0.12 (14.38 / 13.15)	0.24 (-3.11 / -2.79)	0.11 (9.43 / 8.69)
 	Percentile (%)	33.835	34.774	43.876	21.423	16.36	36.641
double-stranded RNA binding	FC (WS / NS)	0.06 (4.81 / 4.58)	-2.54 (0 / 4.81)	-1.55 (1 / 4.86)	-2.84 (0 / 6.17)	-	0.42 (5.17 / 3.61)
 	Percentile (%)	33.969	93.79	89.572	90.269	-	14.132
oxidoreductase activity, acting on peroxide as acceptor	FC (WS / NS)	0.05 (10.99 / 10.55)	0.32 (8.4 / 6.52)	-	-0.17 (11.03 / 12.54)	0.63 (-3.75 / -2.78)	0.04 (8.92 / 8.66)
 	Percentile (%)	34.269	16.265	-	67.974	5.634	48.472
UDP-glycosyltransferase activity	FC (WS / NS)	0.05 (8.29 / 7.95)	0.08 (6.46 / 6.08)	-	-	-	-0.04 (5.86 / 6.03)
 	Percentile (%)	34.303	35.539	-	-	-	65.049
asparagine synthase (glutamine-hydrolyzing) activity	FC (WS / NS)	0.05 (7.54 / 7.23)	-	-	-	-0.27 (-9.55 / -11.31)	-0.54 (1 / 1.91)
 	Percentile (%)	34.336	-	-	-	73.781	86.695
heme binding	FC (WS / NS)	0.05 (11.02 / 10.59)	-0.03 (6.19 / 6.33)	-0.23 (6.17 / 7.39)	0.13 (9.03 / 8.17)	0.01 (-10.6 / -10.55)	-0.01 (6.7 / 6.78)
 	Percentile (%)	34.604	57.487	73.537	20.334	46.262	62.028
carbon-nitrogen ligase activity, with glutamine as amido-N-donor	FC (WS / NS)	0.05 (12.79 / 12.3)	-0.28 (6.07 / 7.56)	-	-0.03 (14.47 / 14.79)	-0.44 (-6.13 / -7.95)	0.11 (9.34 / 8.61)
 	Percentile (%)	34.738	66.754	-	51.997	81.907	36.534
IMP cyclohydrolase activity	FC (WS / NS)	0.05 (3.32 / 3.17)	-1.54 (0 / 1.91)	-	-	-	0.08 (3.46 / 3.23)
 	Percentile (%)	34.838	86.792	-	-	-	39.77
phosphoribosylaminoimidazolecarboxamide formyltransferase activity	FC (WS / NS)	0.05 (3.32 / 3.17)	-1.54 (0 / 1.91)	-	-	-	0.08 (3.46 / 3.23)
 	Percentile (%)	34.871	86.888	-	-	-	39.806
alanine dehydrogenase activity	FC (WS / NS)	0.05 (6.27 / 6.02)	0.09 (6.36 / 5.91)	0.09 (6.41 / 5.95)	0.19 (13.79 / 11.98)	-0.24 (-8.36 / -9.7)	0.05 (6.43 / 6.15)
 	Percentile (%)	35.406	34.153	32.415	15.759	69.772	44.912
phosphotransferase activity, nitrogenous group as acceptor	FC (WS / NS)	0.05 (13.22 / 12.75)	0.22 (8.31 / 6.97)	0.22 (8.68 / 7.31)	0.04 (14.75 / 14.29)	-0.08 (-5.23 / -5.47)	0.04 (8.37 / 8.09)
 	Percentile (%)	35.674	18.892	21.397	32.462	55.688	47.465
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	FC (WS / NS)	0.05 (16.71 / 16.13)	0.07 (10.81 / 10.28)	0.09 (11.71 / 10.94)	0.06 (17.23 / 16.55)	0.9 (1.24 / 0.2)	0.06 (11.31 / 10.84)
 	Percentile (%)	35.741	37.019	33.005	30.211	3.575	44.66
phosphoribosylaminoimidazolesuccinocarboxamide synthase activity	FC (WS / NS)	0.05 (5.29 / 5.09)	0.1 (5 / 4.61)	-	-3.35 (0 / 9.21)	-	0.03 (5.7 / 5.55)
 	Percentile (%)	36.108	33.747	-	96.006	-	50.018
N-methyltransferase activity	FC (WS / NS)	0.05 (9.86 / 9.52)	0.63 (6.13 / 3.61)	0.38 (6.44 / 4.7)	0.86 (0.81 / 0)	-	0.07 (6.38 / 6.03)
 	Percentile (%)	36.242	11.798	15.052	9.513	-	42.539
UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase activity	FC (WS / NS)	0.05 (5.86 / 5.64)	-	-	-	-	-
 	Percentile (%)	36.309	-	-	-	-	-
alanine racemase activity	FC (WS / NS)	0.05 (5.86 / 5.64)	1.37 (1.58 / 0)	-0.98 (1.58 / 4.09)	-	-	-0.63 (2.32 / 4.15)
 	Percentile (%)	36.342	5.016	86.03	-	-	88.385
dihydropteroate synthase activity	FC (WS / NS)	0.05 (3.46 / 3.32)	0.13 (2.81 / 2.49)	-	1.49 (1.81 / 0)	-	0.4 (4.58 / 3.23)
 	Percentile (%)	36.476	32.744	-	6.899	-	14.995
arabinose-5-phosphate isomerase activity	FC (WS / NS)	0.05 (3.46 / 3.32)	0.13 (3.46 / 3.08)	-	-	-	1.23 (3.46 / 0.91)
 	Percentile (%)	36.51	32.577	-	-	-	3.919
nucleobase-containing compound kinase activity	FC (WS / NS)	0.05 (12.72 / 12.3)	0.06 (9.76 / 9.29)	0.09 (8.3 / 7.75)	-0.12 (13.07 / 14.28)	-	0.07 (8.29 / 7.87)
 	Percentile (%)	36.543	37.163	33.596	63.98	-	42.647
intramolecular oxidoreductase activity, interconverting aldoses and ketoses	FC (WS / NS)	0.04 (12.71 / 12.29)	0.02 (8.07 / 7.92)	0.07 (8.96 / 8.46)	0.1 (16.09 / 14.93)	-3 (-1.07 / -1.53)	0.06 (8.6 / 8.2)
 	Percentile (%)	36.61	43.707	35.76	23.965	95.45	43.725
dTDP-4-dehydrorhamnose reductase activity	FC (WS / NS)	0.04 (6.73 / 6.49)	0.24 (4.7 / 3.81)	-	0.06 (8.27 / 7.92)	-	0.07 (5 / 4.71)
 	Percentile (%)	36.71	18.319	-	29.993	-	40.669
transferase activity, transferring glycosyl groups	FC (WS / NS)	0.04 (15.59 / 15.09)	-0.06 (9.19 / 9.63)	0.12 (11.38 / 10.42)	0.29 (15.12 / 12.15)	-0.41 (-3.54 / -4.39)	0.09 (10.43 / 9.73)
 	Percentile (%)	36.81	59.733	29.12	12.927	80.715	37.684
solute:cation symporter activity	FC (WS / NS)	0.04 (14.97 / 14.5)	0.28 (7.13 / 5.69)	-0.21 (7.08 / 8.35)	-3.33 (0 / 9.09)	-0.16 (-4.75 / -5.18)	-0.05 (5.7 / 5.95)
 	Percentile (%)	36.911	17.196	72.799	95.788	62.189	66.019
aldehyde-lyase activity	FC (WS / NS)	0.04 (13.12 / 12.71)	-0.52 (4.32 / 6.62)	0.07 (9.56 / 9.08)	0 (15.25 / 15.28)	-0.6 (-3.49 / -4.77)	0.07 (9.65 / 9.18)
 	Percentile (%)	37.145	72.653	37.137	46.333	86.457	43.006
DNA topoisomerase activity	FC (WS / NS)	0.04 (11.03 / 10.69)	0.06 (8.39 / 7.99)	-	-	-	0.07 (7.79 / 7.36)
 	Percentile (%)	37.178	37.449	-	-	-	40.525
alanine-tRNA ligase activity	FC (WS / NS)	0.04 (6.81 / 6.58)	0.08 (6.73 / 6.33)	-	0 (13.94 / 13.93)	-0.57 (-5.69 / -7.93)	0.03 (7.19 / 7.01)
 	Percentile (%)	37.212	35.634	-	43.137	85.915	50.378
oxidoreductase activity, acting on CH-OH group of donors	FC (WS / NS)	0.04 (17.82 / 17.29)	0.05 (11.53 / 11.08)	0.08 (12.53 / 11.84)	0.05 (17.23 / 16.55)	0.58 (2.24 / 1.17)	0.05 (11.39 / 10.94)
 	Percentile (%)	37.279	38.954	35.662	30.356	6.067	45.523
oxidoreductase activity, acting on a sulfur group of donors	FC (WS / NS)	0.04 (14 / 13.58)	0.18 (9.13 / 7.94)	0.02 (10.35 / 10.23)	-0.13 (12.63 / 13.94)	0.38 (-4.91 / -4.01)	0.08 (9.53 / 8.94)
 	Percentile (%)	37.345	20.182	48.697	65.65	9.859	38.727
acid-amino acid ligase activity	FC (WS / NS)	0.04 (11.77 / 11.42)	0.01 (8.19 / 8.15)	0.12 (8.91 / 8.11)	-0.12 (10.6 / 11.57)	-0.18 (-6.14 / -6.82)	0.07 (8.46 / 8)
 	Percentile (%)	37.412	46.406	28.333	63.762	64.355	40.705
transferase activity, transferring pentosyl groups	FC (WS / NS)	0.04 (13.17 / 12.78)	-0.06 (7.88 / 8.28)	0.07 (9.21 / 8.76)	0.2 (13.5 / 11.58)	-	0.07 (9.05 / 8.57)
 	Percentile (%)	37.579	59.852	37.826	15.396	-	40.849
N-acetylglucosamine-6-phosphate deacetylase activity	FC (WS / NS)	0.04 (3.58 / 3.46)	-0.93 (0 / 0.91)	-	0 (0 / 0)	-	0.18 (4.32 / 3.71)
 	Percentile (%)	37.613	78.624	-	44.444	-	25.926
phosphate butyryltransferase activity	FC (WS / NS)	0.04 (7.54 / 7.31)	-	-	-	-0.21 (-5.91 / -6.68)	-
 	Percentile (%)	37.813	-	-	-	67.064	-
