GO Term	Fold Change	MPA	EggNOG	MEGAN	MetaGOmics	Prophane	Unipept
tetrahydrodipicolinate N-acetyltransferase activity	FC (WS / NS)	0.02 (8.15 / 7.99)	-	0.41 (4.52 / 3.17)	1.1 (4.52 / 1.58)	-0.57 (-7.17 / -10.19)	1.21 (4.75 / 1.49)
 	Percentile (%)	36.82	-	16.823	6.794	86.657	3.935
fatty acid synthase activity	FC (WS / NS)	0.02 (12.71 / 12.48)	0.03 (9.17 / 8.98)	0.03 (12.26 / 12.02)	-	-0.27 (-3.44 / -3.95)	0 (8.51 / 8.48)
 	Percentile (%)	36.961	43.283	43.168	-	72.951	57.093
adenylate kinase activity	FC (WS / NS)	0.02 (12.85 / 12.63)	0.11 (7.26 / 6.66)	0.06 (6.98 / 6.64)	-	-0.39 (-5.76 / -7.25)	0.09 (7.12 / 6.63)
 	Percentile (%)	37.195	34.089	36.21	-	81.001	39.449
glutamate synthase (NADPH) activity	FC (WS / NS)	0.02 (3.98 / 3.91)	-1.54 (0 / 1.91)	0.12 (6.67 / 6.04)	-2.62 (0 / 5.13)	-	0.11 (5.49 / 5.03)
 	Percentile (%)	37.383	85.588	29.458	96.762	-	38.07
glutamate synthase activity, NAD(P)H as acceptor	FC (WS / NS)	0.02 (3.98 / 3.91)	-1.97 (0 / 2.91)	0.1 (8.26 / 7.63)	-2.83 (0 / 6.13)	-	0.11 (5.49 / 5.03)
 	Percentile (%)	37.43	90.759	31.563	98.889	-	38.095
aminopeptidase activity	FC (WS / NS)	0.02 (15.38 / 15.13)	0 (7.07 / 7.08)	0.06 (12.62 / 12.04)	0.07 (9.18 / 8.72)	-0.45 (-4.83 / -6.23)	0.1 (9.29 / 8.62)
 	Percentile (%)	37.477	52.166	36.072	38.317	83.031	38.672
catalytic activity, acting on a protein	FC (WS / NS)	0.02 (17.72 / 17.44)	-0.01 (11.06 / 11.15)	0.04 (18.29 / 17.78)	0.04 (13.23 / 12.87)	NaN (-0.92 / -1.77)	0.05 (12.12 / 11.71)
 	Percentile (%)	37.523	52.819	40.787	44.476	99.782	48.396
kinase activity	FC (WS / NS)	0.02 (20.33 / 20.05)	0.04 (11.07 / 10.72)	0.03 (18.69 / 18.27)	0.05 (12.08 / 11.61)	0.49 (1.69 / 0.92)	0.03 (11.75 / 11.5)
 	Percentile (%)	37.852	41.373	42.275	41.333	7.469	51.955
peptidase activity	FC (WS / NS)	0.02 (17.33 / 17.08)	0.01 (10.69 / 10.64)	0.04 (18.22 / 17.69)	0.04 (12.73 / 12.36)	NaN (-0.99 / -1.91)	0.07 (11.72 / 11.14)
 	Percentile (%)	37.899	45.861	40.513	44.095	97.027	44.261
GMP reductase activity	FC (WS / NS)	0.02 (8.73 / 8.61)	-	-0.2 (3.7 / 4.39)	-	-0.44 (-4.17 / -5.3)	0.66 (3.58 / 1.91)
 	Percentile (%)	37.992	-	80.385	-	82.959	10.201
oxidoreductase activity, acting on NAD(P)H, nitrogenous group as acceptor	FC (WS / NS)	0.02 (8.73 / 8.61)	-	-0.17 (4.7 / 5.39)	0.77 (5.13 / 2.58)	-0.62 (-3.34 / -4.59)	0.57 (4.52 / 2.71)
 	Percentile (%)	38.039	-	79.286	9.143	88.252	11.554
exopeptidase activity	FC (WS / NS)	0.02 (15.39 / 15.2)	-0.04 (8.21 / 8.46)	0.01 (14.88 / 14.72)	0.03 (10.58 / 10.36)	-0.55 (-3.8 / -5.11)	0.05 (10.06 / 9.65)
 	Percentile (%)	38.133	55.055	47.219	45.524	85.859	46.165
cysteine-type peptidase activity	FC (WS / NS)	0.02 (8.81 / 8.7)	-0.8 (1 / 2.49)	0.51 (8.48 / 5.64)	0.72 (7.64 / 4.25)	-	0.19 (7.51 / 6.48)
 	Percentile (%)	38.227	72.837	15.564	9.778	-	26.241
DNA binding	FC (WS / NS)	0.02 (21.45 / 21.2)	-0.1 (9.25 / 10.02)	0.02 (19.03 / 18.76)	0.01 (11.47 / 11.38)	0.79 (0.95 / 0.13)	-0.01 (12.11 / 12.18)
 	Percentile (%)	38.274	57.369	45.846	49.556	3.988	59.85
CoA carboxylase activity	FC (WS / NS)	0.02 (12.32 / 12.18)	0.05 (8.92 / 8.6)	-0.09 (11.86 / 12.67)	0.13 (6.54 / 5.88)	-0.63 (-2.62 / -3.5)	0 (7.94 / 7.96)
 	Percentile (%)	38.321	40.379	75.921	28.508	88.542	59.148
acetyl-CoA carboxylase activity	FC (WS / NS)	0.02 (12.32 / 12.17)	-0.33 (4.91 / 6.41)	-0.09 (10.73 / 11.5)	-	-0.48 (-3.35 / -4.27)	-0.05 (7.42 / 7.71)
 	Percentile (%)	38.368	64.777	76.127	-	83.829	64.16
sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity	FC (WS / NS)	0.01 (10.86 / 10.73)	-1.1 (1.58 / 4.55)	-0.18 (4.25 / 4.95)	-	-0.24 (-8.52 / -9.85)	-0.2 (4.25 / 5.03)
 	Percentile (%)	38.462	81.068	79.675	-	68.6	73.784
phosphoglycerate kinase activity	FC (WS / NS)	0.01 (16.97 / 16.78)	-	0.16 (8.56 / 7.58)	0.11 (8.53 / 7.83)	NaN (-0.2 / -1.26)	0.14 (8.86 / 7.95)
 	Percentile (%)	38.508	-	27.123	31.048	96.447	34.962
protein methyltransferase activity	FC (WS / NS)	0.01 (8.62 / 8.52)	0.39 (3.58 / 2.49)	0.16 (6.79 / 5.98)	-	-0.04 (-8.21 / -8.42)	0.14 (4.58 / 4.08)
 	Percentile (%)	38.555	18.077	26.642	-	50.689	35.063
arginine binding	FC (WS / NS)	0.01 (7.04 / 6.97)	-0.93 (0 / 0.91)	0.4 (4.7 / 3.32)	0.3 (4.91 / 3.81)	-0.02 (-7.05 / -7.13)	0.37 (4.95 / 3.61)
 	Percentile (%)	38.649	77.357	16.938	18.032	49.674	17.268
binding	FC (WS / NS)	0.01 (26.91 / 26.66)	0.01 (16.5 / 16.33)	0 (27.22 / 27.16)	0 (18.56 / 18.52)	0.14 (10.56 / 9.53)	0 (15.79 / 15.79)
 	Percentile (%)	38.79	45.038	51.82	51.238	27.774	57.945
malate dehydrogenase activity	FC (WS / NS)	0.01 (10.84 / 10.73)	0.05 (8.41 / 8.11)	0.06 (12.72 / 12.14)	0.06 (9.2 / 8.75)	NaN (-0.82 / -2.32)	0.02 (8.14 / 8)
 	Percentile (%)	38.837	40.503	36.164	38.698	97.607	53.258
glucose-1-phosphate adenylyltransferase activity	FC (WS / NS)	0.01 (13.83 / 13.7)	-	-0.12 (6.25 / 6.88)	-0.23 (4.64 / 5.61)	0.12 (-6.08 / -5.67)	-0.11 (6.36 / 6.94)
 	Percentile (%)	38.884	-	77.523	69.873	30.384	69.348
adenylyltransferase activity	FC (WS / NS)	0.01 (13.84 / 13.72)	0 (4.81 / 4.81)	-0.05 (10.22 / 10.6)	0.04 (6.52 / 6.34)	0.15 (-5.08 / -4.67)	-0.03 (7.07 / 7.25)
 	Percentile (%)	38.977	52.073	73.175	44.667	26.468	63.033
lysine-tRNA ligase activity	FC (WS / NS)	0.01 (13.04 / 12.93)	-0.13 (6.58 / 7.27)	-0.12 (6.81 / 7.49)	-0.1 (6.89 / 7.43)	-0.03 (-9.22 / -9.41)	-0.08 (7.2 / 7.68)
 	Percentile (%)	39.071	58.534	77.592	61.556	50.181	66.842
amidase activity	FC (WS / NS)	0.01 (13.56 / 13.45)	-	0.18 (9.07 / 7.88)	0.25 (6.95 / 5.7)	-	0.18 (7.09 / 6.13)
 	Percentile (%)	39.165	-	25.681	20.349	-	26.717
ion binding	FC (WS / NS)	0.01 (26.58 / 26.38)	0.02 (14.51 / 14.35)	0 (25.17 / 25.09)	0.01 (16.62 / 16.55)	0.16 (7.84 / 6.92)	0 (14.95 / 14.9)
 	Percentile (%)	39.259	44.712	51.385	50.508	24.656	56.917
amide binding	FC (WS / NS)	0.01 (11.52 / 11.45)	-0.43 (4.58 / 6.52)	0 (10.9 / 10.9)	-0.09 (8.67 / 9.33)	-0.33 (-6.91 / -8.43)	0.04 (8.2 / 7.96)
 	Percentile (%)	39.54	66.563	52.873	61.365	76.795	49.424
organic cyclic compound binding	FC (WS / NS)	0.01 (26.54 / 26.38)	0.02 (15.63 / 15.39)	0 (26.11 / 26.03)	0 (17.35 / 17.33)	0.15 (9.52 / 8.47)	0 (15.19 / 15.2)
 	Percentile (%)	39.587	43.966	51.431	51.333	26.613	58.246
heterocyclic compound binding	FC (WS / NS)	0.01 (26.54 / 26.38)	0.02 (15.63 / 15.39)	0 (26.11 / 26.03)	0 (17.35 / 17.33)	0.15 (9.52 / 8.47)	0 (15.19 / 15.2)
 	Percentile (%)	39.634	43.982	51.453	51.302	26.686	58.271
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	FC (WS / NS)	0.01 (13.6 / 13.52)	0.33 (8.09 / 6.23)	0 (13.53 / 13.54)	0.05 (7.62 / 7.32)	0.24 (-6.2 / -5.4)	0.03 (8.49 / 8.28)
 	Percentile (%)	39.681	19.273	65.278	41.778	16.171	51.028
methionine adenosyltransferase activity	FC (WS / NS)	0.01 (13.03 / 12.97)	-0.05 (2.58 / 2.71)	0.22 (6.52 / 5.46)	0.18 (6.71 / 5.83)	-0.58 (-3.42 / -4.61)	0.2 (6.87 / 5.86)
 	Percentile (%)	39.822	55.645	23.346	24.952	86.73	24.812
active transmembrane transporter activity	FC (WS / NS)	0.01 (14.46 / 14.4)	0.05 (12.63 / 12.19)	0.02 (18.91 / 18.62)	0 (12.68 / 12.68)	-0.39 (0.63 / 1.15)	0.06 (10.21 / 9.76)
 	Percentile (%)	40.009	40.457	45.09	51.841	81.363	45.464
purine ribonucleotide binding	FC (WS / NS)	0 (26.13 / 26.06)	0.07 (12.84 / 12.19)	0.01 (23.16 / 23.01)	0.02 (15.01 / 14.79)	0.22 (6.03 / 5.03)	0.01 (13.88 / 13.74)
 	Percentile (%)	40.244	37.63	49.714	47.619	18.202	55.363
purine ribonucleoside triphosphate binding	FC (WS / NS)	0 (26.13 / 26.06)	0.08 (12.11 / 11.37)	0.01 (22.64 / 22.5)	0.02 (14.42 / 14.2)	0.24 (5.63 / 4.61)	0.01 (13.88 / 13.74)
 	Percentile (%)	40.291	35.596	50.08	47.238	16.389	55.388
purine nucleotide binding	FC (WS / NS)	0 (26.13 / 26.06)	0.07 (13.57 / 12.92)	0.01 (23.93 / 23.79)	0.02 (15.75 / 15.54)	0.2 (6.7 / 5.72)	0.01 (13.89 / 13.74)
 	Percentile (%)	40.338	37.987	50.057	47.778	21.32	55.263
ribonucleotide binding	FC (WS / NS)	0 (26.13 / 26.06)	0.06 (13.24 / 12.62)	0.01 (23.68 / 23.56)	0.01 (15.49 / 15.36)	0.21 (6.49 / 5.49)	0.01 (13.89 / 13.8)
 	Percentile (%)	40.385	38.143	50.469	49.143	20.087	55.99
carbohydrate derivative binding	FC (WS / NS)	0 (26.14 / 26.06)	0.07 (14.19 / 13.52)	0.01 (24.78 / 24.66)	0.01 (15.87 / 15.74)	0.17 (7.52 / 6.55)	0.01 (13.94 / 13.85)
 	Percentile (%)	40.432	37.956	50.675	49.492	23.568	56.015
nucleotide binding	FC (WS / NS)	0 (26.15 / 26.07)	0.06 (14.1 / 13.51)	0.01 (24.66 / 24.54)	0.01 (16.39 / 16.25)	0.18 (7.39 / 6.42)	0.01 (14.22 / 14.13)
 	Percentile (%)	40.478	39.059	50.584	49.333	23.205	56.04
nucleoside phosphate binding	FC (WS / NS)	0 (26.15 / 26.07)	0.06 (14.45 / 13.86)	0.01 (25.13 / 25.01)	0.01 (16.79 / 16.66)	0.17 (7.85 / 6.87)	0.01 (14.22 / 14.13)
 	Percentile (%)	40.525	39.152	50.744	49.651	23.93	56.065
small molecule binding	FC (WS / NS)	0 (26.16 / 26.09)	0.05 (14.85 / 14.26)	0.01 (25.56 / 25.46)	0.01 (16.73 / 16.64)	0.16 (8.29 / 7.33)	0 (14.43 / 14.38)
 	Percentile (%)	40.572	39.307	50.95	50.317	24.946	56.992
anion binding	FC (WS / NS)	0 (26.14 / 26.07)	0.04 (13 / 12.57)	0 (23.62 / 23.62)	0 (15.33 / 15.29)	0.19 (6.37 / 5.46)	0 (14.14 / 14.14)
 	Percentile (%)	40.619	41.062	52.895	50.794	21.61	58.17
arginine-tRNA ligase activity	FC (WS / NS)	0 (13.34 / 13.33)	-1.65 (1 / 5.3)	0.01 (8.64 / 8.55)	-	0.03 (-5.74 / -5.65)	0.01 (7.83 / 7.78)
 	Percentile (%)	40.76	87.809	47.494	-	42.712	56.09
alanine-tRNA ligase activity	FC (WS / NS)	0 (13.94 / 13.93)	0.08 (6.73 / 6.33)	0.04 (6.81 / 6.58)	-	-0.57 (-5.69 / -7.93)	0.03 (7.19 / 7.01)
 	Percentile (%)	40.854	36.248	40.261	-	86.439	51.103
transferase activity, transferring phosphorus-containing groups	FC (WS / NS)	0 (21.54 / 21.52)	0.03 (12.94 / 12.62)	0.03 (20.68 / 20.3)	0.04 (13.77 / 13.4)	0.2 (3.08 / 2.54)	0.03 (12.93 / 12.61)
 	Percentile (%)	40.994	42.507	43.671	44.571	20.16	50.827
ligase activity, forming carbon-nitrogen bonds	FC (WS / NS)	0 (15.26 / 15.26)	-0.02 (9.88 / 10.02)	0.02 (16.53 / 16.25)	0.07 (11.74 / 11.16)	-1.26 (-1.72 / -2.72)	0.08 (10.84 / 10.17)
 	Percentile (%)	41.088	53.393	44.266	38.032	94.126	39.925
mannosyltransferase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-1.32 (0 / 1.49)
 	Percentile (%)	41.135	-	-	-	-	94.637
acetyl-CoA:L-glutamate N-acetyltransferase activity	FC (WS / NS)	0 (0 / 0)	-	-1.84 (0 / 2.58)	-	-	-
 	Percentile (%)	41.182	-	95.377	-	-	-
carbonate dehydratase activity	FC (WS / NS)	0 (0 / 0)	0.42 (2.32 / 1.49)	0 (3.32 / 3.32)	-	-	-0.31 (2 / 2.71)
 	Percentile (%)	41.229	17.41	54.017	-	-	76.892
catalase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	1.73 (2 / -0.09)
 	Percentile (%)	41.276	-	-	-	-	1.679
glutamate N-acetyltransferase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	41.323	-	-	-	-	-
homoserine O-acetyltransferase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-1.89 (0 / 2.71)
 	Percentile (%)	41.37	-	-	-	-	98.045
methylcrotonoyl-CoA carboxylase activity	FC (WS / NS)	0 (0 / 0)	-	-0.19 (7.29 / 8.46)	-	-	1.14 (1 / -0.09)
 	Percentile (%)	41.417	-	79.995	-	-	4.06
deoxyribonuclease I activity	FC (WS / NS)	0 (0 / 0)	-	-1 (0 / 1)	-	-	-
 	Percentile (%)	41.463	-	88.647	-	-	-
dolichyl-phosphate beta-D-mannosyltransferase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-1.32 (0 / 1.49)
 	Percentile (%)	41.51	-	-	-	-	94.812
pyrroline-5-carboxylate reductase activity	FC (WS / NS)	0 (0 / 0)	0 (0 / 0)	0 (0 / 0)	-	-	-
 	Percentile (%)	41.557	46.902	54.635	-	-	-
N-acetylglucosamine-6-phosphate deacetylase activity	FC (WS / NS)	0 (0 / 0)	-0.93 (0 / 0.91)	0.04 (3.58 / 3.46)	-	-	0.18 (4.32 / 3.71)
 	Percentile (%)	41.792	75.369	40.581	-	-	26.967
cadmium-exporting ATPase activity	FC (WS / NS)	0 (0 / 0)	-	-0.02 (6.09 / 6.19)	-	-	0.38 (5 / 3.61)
 	Percentile (%)	41.839	-	70.474	-	-	16.842
D-lactate dehydrogenase activity	FC (WS / NS)	0 (0 / 0)	-2.51 (0 / 4.71)	-0.95 (3.46 / 7.61)	0.19 (5.78 / 4.95)	-	-
 	Percentile (%)	41.886	93.633	88.098	24.444	-	-
dihydrofolate synthase activity	FC (WS / NS)	0 (0 / 0)	-	-0.74 (1.58 / 3.32)	-	-	-2.17 (0 / 3.49)
 	Percentile (%)	41.932	-	87.434	-	-	99.073
homoserine O-succinyltransferase activity	FC (WS / NS)	0 (0 / 0)	-1.54 (0 / 1.91)	-1.73 (0 / 2.32)	-	-	-0.52 (1.58 / 2.71)
 	Percentile (%)	41.979	85.929	95.056	-	-	84.812
serine O-acetyltransferase activity	FC (WS / NS)	0 (0 / 0)	0.14 (0 / -0.09)	-1.37 (0 / 1.58)	-	-	-
 	Percentile (%)	42.026	27.349	92.859	-	-	-
cadmium ion transmembrane transporter activity	FC (WS / NS)	0 (0 / 0)	-	-0.02 (7.09 / 7.19)	-	-	0.38 (5 / 3.61)
 	Percentile (%)	42.167	-	69.787	-	-	16.867
cadmium-transporting ATPase activity	FC (WS / NS)	0 (0 / 0)	-	-0.02 (6.09 / 6.19)	-	-	0.38 (5 / 3.61)
 	Percentile (%)	42.214	-	70.497	-	-	16.892
teichoic-acid-transporting ATPase activity	FC (WS / NS)	0 (0 / 0)	-	0 (0 / 0)	-	-	0.14 (0 / -0.09)
 	Percentile (%)	42.261	-	57.908	-	-	32.18
serine O-acyltransferase activity	FC (WS / NS)	0 (0 / 0)	-1.54 (0 / 1.91)	-1.84 (0 / 2.58)	-	-	-
 	Percentile (%)	42.308	87.343	95.903	-	-	-
O-succinyltransferase activity	FC (WS / NS)	0 (0 / 0)	-0.97 (1 / 2.91)	-1.11 (1 / 3.32)	-	-	-0.52 (1.58 / 2.71)
 	Percentile (%)	42.402	79.826	91.76	-	-	84.837
serine 3-dehydrogenase activity	FC (WS / NS)	0 (0 / 0)	-0.38 (3.32 / 4.61)	-	-	-	-
 	Percentile (%)	42.589	65.6	-	-	-	-
formyl-CoA transferase activity	FC (WS / NS)	0 (0 / 0)	-	0 (0 / 0)	-	-	0.13 (2.81 / 2.49)
 	Percentile (%)	42.636	-	60.472	-	-	36.04
glucose-1-phosphate cytidylyltransferase activity	FC (WS / NS)	0 (0 / 0)	-	-1.58 (0 / 2)	-	-	-
 	Percentile (%)	42.824	-	94.484	-	-	-
propanediol dehydratase activity	FC (WS / NS)	0 (0 / 0)	-	-0.24 (7.71 / 9.27)	-0.33 (5.95 / 7.75)	-	-0.66 (4.09 / 7.01)
 	Percentile (%)	42.871	-	81.506	74.984	-	87.744
methione N-acyltransferase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	42.964	-	-	-	-	-
proline-tRNA ligase activity	FC (WS / NS)	0 (13.5 / 13.51)	0.07 (6.11 / 5.76)	0.01 (6.04 / 5.98)	-	-	0.04 (6.32 / 6.11)
 	Percentile (%)	43.105	36.45	47.379	-	-	49.173
tetrapyrrole binding	FC (WS / NS)	0 (17.63 / 17.65)	-0.06 (7.19 / 7.56)	0.08 (15.14 / 14.31)	-0.07 (10.2 / 10.78)	2.01 (0.43 / -0.64)	-0.01 (9.53 / 9.6)
 	Percentile (%)	43.386	56.329	34.081	58.476	0.58	60.15
cobalamin binding	FC (WS / NS)	0 (17.62 / 17.65)	-2.27 (0 / 3.81)	0.1 (13.02 / 12.1)	-0.07 (8.93 / 9.4)	NaN (-0.48 / -1.51)	-0.01 (9.31 / 9.38)
 	Percentile (%)	43.433	92.685	31.838	57.905	98.55	60.175
DNA-directed 5'-3' RNA polymerase activity	FC (WS / NS)	0 (19.7 / 19.72)	0.02 (8.7 / 8.57)	0.01 (13.03 / 12.93)	0.02 (9.53 / 9.38)	0.03 (-7.23 / -7.1)	0.04 (9.98 / 9.71)
 	Percentile (%)	43.48	44.293	49.439	46.984	42.422	50.1
5'-3' RNA polymerase activity	FC (WS / NS)	0 (19.7 / 19.72)	0.02 (9.69 / 9.57)	0.01 (14.02 / 13.93)	0.02 (10.53 / 10.38)	0.02 (-6.66 / -6.58)	0.03 (10.01 / 9.75)
 	Percentile (%)	43.527	44.603	49.783	47.714	43.582	50.576
RNA polymerase activity	FC (WS / NS)	0 (19.7 / 19.72)	0.02 (9.69 / 9.57)	0.01 (14.02 / 13.93)	0.02 (11.11 / 10.96)	0.02 (-6.66 / -6.58)	0.03 (10.01 / 9.75)
 	Percentile (%)	43.574	44.619	49.805	47.968	43.655	50.602
glutamine-fructose-6-phosphate transaminase (isomerizing) activity	FC (WS / NS)	0 (14.84 / 14.86)	-0.56 (4.39 / 6.97)	-0.08 (7.88 / 8.36)	-	-0.35 (-4.05 / -4.87)	-0.06 (7.07 / 7.39)
 	Percentile (%)	43.621	69.856	75.12	-	78.173	64.712
L-glutamine aminotransferase activity	FC (WS / NS)	0 (14.84 / 14.86)	-0.49 (5.39 / 7.97)	-0.07 (9.56 / 10.1)	-	-0.38 (-3.72 / -4.55)	-0.06 (7.07 / 7.39)
 	Percentile (%)	43.668	67.961	74.96	-	80.638	64.737
aldehyde-lyase activity	FC (WS / NS)	0 (15.25 / 15.28)	-0.52 (4.32 / 6.62)	0.04 (13.12 / 12.71)	0.07 (9.56 / 9.08)	-0.6 (-3.49 / -4.77)	0.07 (9.65 / 9.18)
 	Percentile (%)	43.715	68.613	40.169	37.968	86.947	44.637
nucleotidyltransferase activity	FC (WS / NS)	0 (19.77 / 19.82)	0.02 (11.03 / 10.88)	0 (16.57 / 16.57)	0.02 (11.32 / 11.16)	-0.06 (-1.58 / -1.6)	0.01 (10.82 / 10.75)
 	Percentile (%)	43.762	44.634	65.141	47.937	52.067	56.291
transferase activity	FC (WS / NS)	0 (21.8 / 21.86)	-0.02 (14.03 / 14.25)	0 (22.55 / 22.49)	0 (14.92 / 14.93)	0.17 (5 / 4.34)	0.01 (13.98 / 13.83)
 	Percentile (%)	43.902	53.611	51.774	52.032	23.713	55.238
2 iron, 2 sulfur cluster binding	FC (WS / NS)	-0.01 (9.93 / 9.96)	-1.49 (1 / 4.61)	0.01 (12.13 / 12.01)	-	-0.02 (-9.81 / -9.9)	0.01 (7.54 / 7.48)
 	Percentile (%)	44.371	85.137	47.631	-	49.311	55.915
adenyl ribonucleotide binding	FC (WS / NS)	-0.01 (25.67 / 25.78)	0.07 (11.71 / 11.08)	0.01 (22.4 / 22.21)	0.02 (14.31 / 14.06)	0.27 (5.23 / 4.18)	0.02 (13.54 / 13.35)
 	Percentile (%)	44.418	36.357	48.295	46.159	14.068	54.11
ATP binding	FC (WS / NS)	-0.01 (25.67 / 25.78)	0.09 (10.71 / 10.01)	0.01 (21.39 / 21.2)	0.03 (13.25 / 12.98)	0.33 (4.53 / 3.4)	0.02 (13.53 / 13.35)
 	Percentile (%)	44.465	35.176	48.043	45.556	11.095	54.135
drug binding	FC (WS / NS)	-0.01 (25.68 / 25.79)	0.03 (10.98 / 10.77)	0.01 (21.41 / 21.24)	0.02 (14.41 / 14.21)	0.32 (4.58 / 3.46)	0.02 (13.73 / 13.55)
 	Percentile (%)	44.512	43.438	48.386	47.81	11.675	54.286
adenyl nucleotide binding	FC (WS / NS)	-0.01 (25.67 / 25.78)	0.07 (12.3 / 11.67)	0.01 (22.99 / 22.8)	0.02 (14.89 / 14.63)	0.24 (5.71 / 4.69)	0.02 (13.55 / 13.35)
 	Percentile (%)	44.559	37.599	48.341	46.19	16.534	53.91
glucosyltransferase activity	FC (WS / NS)	-0.01 (7.3 / 7.34)	-0.08 (5.29 / 5.63)	0.04 (7.12 / 6.91)	0.63 (6.87 / 4.09)	-0.01 (-9.55 / -9.62)	-0.14 (4.86 / 5.46)
 	Percentile (%)	44.606	56.748	40.902	10.73	48.368	70.551
catalytic activity, acting on RNA	FC (WS / NS)	-0.01 (20 / 20.1)	0.01 (12.3 / 12.26)	0 (16.79 / 16.81)	0.02 (13.19 / 12.95)	NaN (-0.91 / -1.71)	0.03 (12.22 / 11.96)
 	Percentile (%)	44.653	45.97	65.461	46.095	99.855	51.88
monosaccharide transmembrane transporter activity	FC (WS / NS)	-0.01 (7.81 / 7.85)	0.08 (9.21 / 8.64)	-0.63 (5.39 / 8.86)	0.09 (7.34 / 6.85)	-	-0.08 (7.01 / 7.46)
 	Percentile (%)	44.747	35.673	86.862	34.667	-	66.466
sugar transmembrane transporter activity	FC (WS / NS)	-0.01 (7.81 / 7.85)	0.08 (9.58 / 9.01)	0.04 (13.41 / 12.98)	0.09 (7.34 / 6.85)	-0.05 (-5.85 / -6.01)	-0.08 (7.01 / 7.46)
 	Percentile (%)	44.794	35.875	39.918	34.73	51.051	66.491
zinc ion binding	FC (WS / NS)	-0.01 (19.87 / 20.01)	-0.01 (10.32 / 10.37)	0.01 (17.36 / 17.25)	0.01 (11.08 / 10.99)	-1.66 (-1.59 / -2.85)	0.04 (11.13 / 10.8)
 	Percentile (%)	45.356	52.695	49.508	49.46	95.069	49.449
phosphotransferase activity, carboxyl group as acceptor	FC (WS / NS)	-0.01 (17.05 / 17.18)	-0.27 (5.32 / 6.61)	0.03 (12.59 / 12.34)	0.03 (9 / 8.83)	1.96 (0.35 / -0.65)	0.02 (9.64 / 9.46)
 	Percentile (%)	45.497	62.354	43.488	45.778	0.653	52.957
triose-phosphate isomerase activity	FC (WS / NS)	-0.01 (14.02 / 14.14)	-0.01 (6.15 / 6.21)	-0.04 (6.44 / 6.63)	-	-0.44 (-3.54 / -4.44)	-0.03 (6.54 / 6.69)
 	Percentile (%)	45.685	52.881	72.442	-	82.741	62.657
fructose-bisphosphate aldolase activity	FC (WS / NS)	-0.01 (15.05 / 15.18)	-0.68 (3 / 5.43)	0.02 (10.18 / 10.01)	-	-0.52 (-6.16 / -8.41)	0.03 (8.67 / 8.48)
 	Percentile (%)	45.732	71.471	44.953	-	84.989	51.604
oxidoreductase activity, acting on the aldehyde or oxo group of donors	FC (WS / NS)	-0.01 (18.04 / 18.2)	-0.18 (7.74 / 8.93)	0 (16.29 / 16.35)	-0.06 (12.77 / 13.31)	NaN (-0.99 / -1.95)	0 (11.07 / 11.11)
 	Percentile (%)	46.013	60.196	66.033	57.27	97.897	59.373
glycine hydroxymethyltransferase activity	FC (WS / NS)	-0.01 (11.87 / 11.99)	-2.2 (0 / 3.61)	0.2 (6.46 / 5.49)	0.24 (6.67 / 5.49)	0.04 (-7.72 / -7.53)	0.26 (6.83 / 5.52)
 	Percentile (%)	46.107	92.25	24.605	20.889	41.914	21.504
hydroxymethyl-, formyl- and related transferase activity	FC (WS / NS)	-0.01 (11.94 / 12.06)	-0.12 (4.52 / 4.99)	-0.07 (10.35 / 10.89)	-0.1 (7.71 / 8.31)	-0.12 (-5.49 / -5.87)	0.02 (7.65 / 7.56)
 	Percentile (%)	46.154	58.146	74.617	61.81	58.158	54.787
transition metal ion binding	FC (WS / NS)	-0.01 (20.29 / 20.51)	-0.02 (11.67 / 11.89)	0 (20.18 / 20.12)	-0.01 (12.15 / 12.25)	0.42 (2.91 / 1.92)	0 (12.02 / 11.99)
 	Percentile (%)	46.764	53.875	51.682	53.333	8.629	57.469
tRNA binding	FC (WS / NS)	-0.01 (19.88 / 20.1)	-0.02 (6.51 / 6.63)	-0.01 (14.69 / 14.79)	-	1.57 (0.92 / -0.35)	-0.01 (10.83 / 10.88)
 	Percentile (%)	46.811	53.782	67.521	-	1.233	59.699
transferase activity, transferring aldehyde or ketonic groups	FC (WS / NS)	-0.02 (11.07 / 11.21)	-0.2 (6.13 / 7.17)	0.02 (10.95 / 10.78)	-0.01 (4.81 / 4.86)	-0.27 (-7.52 / -8.85)	-0.08 (6.95 / 7.44)
 	Percentile (%)	47.28	60.677	45.754	53.651	72.589	67.193
metalloendopeptidase activity	FC (WS / NS)	-0.02 (14.54 / 14.74)	0.31 (6.93 / 5.4)	0.14 (11.58 / 10.39)	0.2 (8.08 / 6.91)	-0.43 (-7.31 / -9.5)	0.14 (8.37 / 7.51)
 	Percentile (%)	47.326	19.863	27.97	23.905	82.669	35.013
