GO Term	Fold Change	Prophane	EggNOG	MEGAN	MetaGOmics	MPA	Unipept
oxidoreductase activity, acting on CH or CH2 groups, disulfide as acceptor	FC (WS / NS)	-0.8 (-3.08 / -4.63)	-0.03 (7.18 / 7.32)	0.07 (10.26 / 9.72)	0.12 (9.11 / 8.29)	0.19 (14.3 / 12.44)	0.14 (7.93 / 7.12)
 	Percentile (%)	91.733	53.906	34.653	29.524	16.698	35.163
L-malate dehydrogenase activity	FC (WS / NS)	-0.84 (-3.5 / -5.47)	-0.5 (3.58 / 5.49)	0.19 (10.17 / 8.79)	0.11 (7.92 / 7.28)	-2.93 (0 / 6.64)	-0.04 (6.36 / 6.55)
 	Percentile (%)	92.023	68.271	25.223	31.333	91.229	63.484
oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	FC (WS / NS)	-0.89 (-2.03 / -2.91)	-0.16 (7.04 / 8.01)	0.03 (14.41 / 14.07)	-0.04 (11.77 / 12.13)	0.05 (17.6 / 17.01)	0.06 (10.53 / 10.09)
 	Percentile (%)	92.531	59.683	42.184	56.349	30.535	45.865
oxidoreductase activity, acting on NAD(P)H	FC (WS / NS)	-0.93 (-2.44 / -3.76)	-0.23 (7.73 / 9.24)	0.04 (13.99 / 13.61)	-0.02 (9.03 / 9.21)	-0.16 (12.11 / 13.64)	0.07 (8.97 / 8.53)
 	Percentile (%)	92.676	61.609	41.016	54.889	64.118	44.586
N-acyltransferase activity	FC (WS / NS)	-0.93 (-4.09 / -6.9)	0 (7.65 / 7.66)	0.02 (10.97 / 10.77)	1.1 (4.52 / 1.58)	0.13 (13.01 / 11.81)	0 (7.61 / 7.61)
 	Percentile (%)	92.821	52.151	43.809	6.762	20.872	57.92
peptidase activity, acting on L-amino acid peptides	FC (WS / NS)	-1.09 (-1.95 / -3.02)	0.02 (10.27 / 10.16)	0.04 (17.43 / 16.95)	0.04 (12.35 / 11.97)	-0.04 (16.4 / 16.89)	0.04 (11.24 / 10.93)
 	Percentile (%)	93.328	44.867	40.856	43.524	50.422	50.05
cation transmembrane transporter activity	FC (WS / NS)	-1.18 (-0.6 / -0.09)	0.03 (11.85 / 11.57)	0.02 (17.96 / 17.74)	0 (12.36 / 12.36)	-0.05 (19.11 / 19.79)	0.02 (10.13 / 10.02)
 	Percentile (%)	93.981	42.771	46.67	51.714	53.518	55.063
oxidoreductase activity, acting on CH or CH2 groups	FC (WS / NS)	-1.22 (-1.97 / -3.26)	0 (8.01 / 7.99)	0.03 (12.44 / 12.17)	0.05 (10.08 / 9.72)	0.11 (14.58 / 13.45)	0.05 (8.95 / 8.6)
 	Percentile (%)	94.054	46.218	42.641	42.698	22.842	47.243
ligase activity, forming carbon-nitrogen bonds	FC (WS / NS)	-1.26 (-1.72 / -2.72)	-0.02 (9.88 / 10.02)	0.02 (16.53 / 16.25)	0.07 (11.74 / 11.16)	0 (15.26 / 15.26)	0.08 (10.84 / 10.17)
 	Percentile (%)	94.126	53.393	44.266	38.032	41.088	39.925
methylmalonyl-CoA mutase activity	FC (WS / NS)	-1.3 (-1.73 / -2.8)	1.37 (1.58 / 0)	0.19 (10.88 / 9.38)	0.2 (8.71 / 7.43)	0.11 (15.12 / 13.96)	0.23 (9.06 / 7.59)
 	Percentile (%)	94.199	5.451	25.017	23.524	22.983	23.358
aminoacyl-tRNA ligase activity	FC (WS / NS)	-1.34 (-1.56 / -2.41)	0 (11.05 / 11.04)	0 (15.49 / 15.54)	-0.01 (9.07 / 9.16)	-0.05 (16.5 / 17.08)	0.02 (11.25 / 11.12)
 	Percentile (%)	94.271	46.436	66.217	53.492	52.58	54.887
ligase activity, forming carbon-carbon bonds	FC (WS / NS)	-1.47 (-1.58 / -2.62)	0.05 (9.51 / 9.18)	-0.04 (13.17 / 13.53)	0.09 (9.71 / 9.06)	0.07 (12.86 / 12.2)	0.14 (9.19 / 8.22)
 	Percentile (%)	94.779	40.954	72.557	33.81	27.58	30.125
manganese ion binding	FC (WS / NS)	-1.58 (-1.61 / -2.83)	-0.15 (6.34 / 7.13)	0.03 (14.25 / 13.96)	-0.06 (8.37 / 8.75)	0.12 (15.92 / 14.58)	-0.01 (7.87 / 7.91)
 	Percentile (%)	94.851	59.171	42.985	57.397	21.904	59.524
zinc ion binding	FC (WS / NS)	-1.66 (-1.59 / -2.85)	-0.01 (10.32 / 10.37)	0.01 (17.36 / 17.25)	0.01 (11.08 / 10.99)	-0.01 (19.87 / 20.01)	0.04 (11.13 / 10.8)
 	Percentile (%)	95.069	52.695	49.508	49.46	45.356	49.449
oxidoreductase activity, acting on the CH-CH group of donors	FC (WS / NS)	-1.69 (-1.51 / -2.64)	0.06 (9.08 / 8.68)	-0.04 (14.88 / 15.29)	-0.21 (9.72 / 11.38)	-0.17 (12.8 / 14.49)	-0.17 (9.32 / 10.6)
 	Percentile (%)	95.141	38.841	72.534	69.048	64.634	72.105
NAD binding	FC (WS / NS)	-2.11 (-1.26 / -2.13)	0.17 (7.17 / 6.25)	0.02 (14.69 / 14.52)	-0.34 (4.81 / 6.38)	0.03 (18.11 / 17.75)	0.01 (10.28 / 10.24)
 	Percentile (%)	95.504	24.414	46.944	75.651	36.585	56.541
magnesium ion binding	FC (WS / NS)	-2.21 (-1.32 / -2.5)	0.06 (10.34 / 9.89)	0.03 (17.32 / 16.88)	0.03 (11.82 / 11.55)	0.08 (24.17 / 22.88)	0.05 (11.79 / 11.39)
 	Percentile (%)	95.722	38.95	41.52	45.206	26.173	48.446
inorganic molecular entity transmembrane transporter activity	FC (WS / NS)	-2.51 (-0.89 / -0.37)	0.03 (11.65 / 11.38)	0.01 (17.26 / 17.08)	0.01 (12.56 / 12.47)	-0.05 (19.11 / 19.79)	0.03 (10.45 / 10.23)
 	Percentile (%)	95.794	42.802	47.311	49.81	53.377	52.105
ATPase activity, coupled to transmembrane movement of substances	FC (WS / NS)	-2.73 (-0.89 / -0.29)	0.05 (11.42 / 11.02)	0.02 (16.63 / 16.38)	0.01 (11.96 / 11.86)	-0.26 (11.2 / 13.66)	0.04 (9.22 / 8.94)
 	Percentile (%)	95.939	40.565	45.251	49.302	68.715	49.348
intramolecular oxidoreductase activity, interconverting aldoses and ketoses	FC (WS / NS)	-3 (-1.07 / -1.53)	0.02 (8.07 / 7.92)	0.04 (12.71 / 12.29)	0.07 (8.96 / 8.46)	0.1 (16.09 / 14.93)	0.06 (8.6 / 8.2)
 	Percentile (%)	96.012	43.827	39.643	36.635	24.062	45.238
inorganic cation transmembrane transporter activity	FC (WS / NS)	-3.77 (-0.96 / -0.42)	0.04 (11.6 / 11.29)	0.02 (17.24 / 17.04)	0 (12.07 / 12.1)	-0.05 (19.11 / 19.79)	0.02 (10.09 / 9.91)
 	Percentile (%)	96.084	42.149	47.059	52.444	53.424	53.133
phosphoglycerate kinase activity	FC (WS / NS)	NaN (-0.2 / -1.26)	-	0.16 (8.56 / 7.58)	0.11 (8.53 / 7.83)	0.01 (16.97 / 16.78)	0.14 (8.86 / 7.95)
 	Percentile (%)	96.447	-	27.123	31.048	38.508	34.962
peptidase activity	FC (WS / NS)	NaN (-0.99 / -1.91)	0.01 (10.69 / 10.64)	0.04 (18.22 / 17.69)	0.04 (12.73 / 12.36)	0.02 (17.33 / 17.08)	0.07 (11.72 / 11.14)
 	Percentile (%)	97.027	45.861	40.513	44.095	37.899	44.261
acetyltransferase activity	FC (WS / NS)	NaN (-0.62 / -1.78)	-0.19 (9.6 / 11.08)	-0.08 (13.83 / 14.63)	-0.13 (10.27 / 11.37)	-0.05 (17.05 / 17.67)	-0.02 (9.87 / 10)
 	Percentile (%)	97.534	60.413	75.189	65.429	53.565	61.153
malate dehydrogenase activity	FC (WS / NS)	NaN (-0.82 / -2.32)	0.05 (8.41 / 8.11)	0.06 (12.72 / 12.14)	0.06 (9.2 / 8.75)	0.01 (10.84 / 10.73)	0.02 (8.14 / 8)
 	Percentile (%)	97.607	40.503	36.164	38.698	38.837	53.258
hydro-lyase activity	FC (WS / NS)	NaN (-0.79 / -1.25)	0.11 (9.97 / 9.15)	0.02 (16.21 / 16.01)	0.02 (11.48 / 11.27)	0.1 (21.21 / 19.68)	0.06 (11.07 / 10.61)
 	Percentile (%)	97.679	33.98	46.647	46	24.015	45.915
intramolecular oxidoreductase activity	FC (WS / NS)	NaN (-0.59 / -1.05)	0.11 (9.57 / 8.79)	0.03 (13.89 / 13.62)	0.09 (10.4 / 9.71)	0.1 (16.09 / 14.93)	0.05 (8.61 / 8.25)
 	Percentile (%)	97.752	34.043	43.374	34.095	24.109	46.115
ligase activity, forming carbon-oxygen bonds	FC (WS / NS)	NaN (-0.53 / -1.34)	0 (12.05 / 12.04)	0 (17.01 / 17.06)	-0.01 (9.07 / 9.16)	-0.05 (16.5 / 17.08)	0.02 (11.25 / 11.12)
 	Percentile (%)	97.825	46.451	65.988	53.524	52.627	54.912
oxidoreductase activity, acting on the aldehyde or oxo group of donors	FC (WS / NS)	NaN (-0.99 / -1.95)	-0.18 (7.74 / 8.93)	0 (16.29 / 16.35)	-0.06 (12.77 / 13.31)	-0.01 (18.04 / 18.2)	0 (11.07 / 11.11)
 	Percentile (%)	97.897	60.196	66.033	57.27	46.013	59.373
active ion transmembrane transporter activity	FC (WS / NS)	NaN (-1.34 / -0.76)	0.06 (10.99 / 10.5)	0.03 (16.35 / 16.04)	0 (11.82 / 11.81)	-0.43 (9.92 / 13.7)	0.02 (8.83 / 8.68)
 	Percentile (%)	98.332	38.733	43.557	51.492	76.032	53.333
cobalamin binding	FC (WS / NS)	NaN (-0.48 / -1.51)	-2.27 (0 / 3.81)	0.1 (13.02 / 12.1)	-0.07 (8.93 / 9.4)	0 (17.62 / 17.65)	-0.01 (9.31 / 9.38)
 	Percentile (%)	98.55	92.685	31.838	57.905	43.433	60.175
ATPase coupled ion transmembrane transporter activity	FC (WS / NS)	NaN (-1.48 / -0.83)	0.06 (10.88 / 10.43)	0.02 (15.65 / 15.44)	0.01 (11.43 / 11.31)	-0.42 (9.92 / 13.64)	0.05 (8.62 / 8.26)
 	Percentile (%)	99.13	39.105	46.258	48.952	75.891	46.09
catalytic activity, acting on a protein	FC (WS / NS)	NaN (-0.92 / -1.77)	-0.01 (11.06 / 11.15)	0.04 (18.29 / 17.78)	0.04 (13.23 / 12.87)	0.02 (17.72 / 17.44)	0.05 (12.12 / 11.71)
 	Percentile (%)	99.782	52.819	40.787	44.476	37.523	48.396
catalytic activity, acting on RNA	FC (WS / NS)	NaN (-0.91 / -1.71)	0.01 (12.3 / 12.26)	0 (16.79 / 16.81)	0.02 (13.19 / 12.95)	-0.01 (20 / 20.1)	0.03 (12.22 / 11.96)
 	Percentile (%)	99.855	45.97	65.461	46.095	44.653	51.88
catalytic activity, acting on a tRNA	FC (WS / NS)	NaN (-0.95 / -1.77)	0.01 (11.8 / 11.72)	0 (16.49 / 16.53)	0.02 (11.48 / 11.34)	-0.04 (17.38 / 17.92)	0.02 (11.65 / 11.47)
 	Percentile (%)	99.927	45.551	65.759	48.222	51.642	53.709
